company,invoice_num,invoice_date,operation_date,amount,reporter,notes,status,kind
Wesoła Gżegżółka,W31017,2013-03-12,2013-03-10,15000.75,Bethany Hettinger I,Culpa eos qui voluptatem.,accepted,""
 TT Internet,T99701,2014-08-27,2014-08-26,12681.3,Dr. Hosea Breitenberg,Ipsam temporibus est quo voluptas exercitationem aut.,other,Negligible;Important;client;Other
 Comcast,C89411,2012-12-23,2012-12-20,14066.32,Mrs. Cristina Howell,"Est ut labore.
Dolorem molestias et qui.
Sapiente ut laboriosam voluptates optio deleniti atque iusto.
Odit et qui dignissimos voluptatem qui molestias.",accepted,delegation
Microsoft,M12115,2013-08-22,2013-08-18,10426.42,Karelle Little,"Nemo omnis quos beatae aut quis ut quas.
Expedita porro iste ut.",accepted,negligible
Big Company 1,B64185,11/28/2014,11/22/2014,19780.55,Enola Sauer,"Est cum quis.
Dignissimos cumque eum et minus accusantium.
Sit magnam aut.",rejected,""
TT Internet,T7824,09/26/2014,09/24/2014,14703.89,Alexzander Larkin,Magnam expedita et.,accepted,important;Delegation;Negligible
 MS Szpadel,M89162,2013-03-03,2013-03-01,15671.4,Fae Monahan Sr.,Nobis minus ipsa fuga ullam distinctio.,other,delegation;Other;important;client;internal
Big Company 1,B82647,04-01-2013,30-12-2012,15697.75,Christophe Klein DVM,Aspernatur est aperiam in odio facere architecto fugiat.,rejected,delegation;internal
Microsoft,M37819,02-11-2014,30-10-2014,13081.46,Hosea Purdy,Et asperiores ex nesciunt natus rerum accusamus.,other,Negligible;Other;important
SB Komputery,S43477,01/19/2013,01/15/2013,10483.35,Larry Hackett,Ratione minima sed illum aut rem impedit.,other,negligible;client;important;internal
Comcast,C37647,2015-01-29,2015-01-26,11433.75,Willa Dickinson DDS,Voluptatem rerum ad quia ea debitis exercitationem eveniet.,accepted,""
 MS Szpadel,M41276,2014-03-18,2014-03-13,10556.63,Leonel Gislason,Nihil aliquid ut.,accepted,negligible;client;delegation
 BP Biznes,B46149,2013-03-11,2013-03-08,12807.86,Ms. Norene Dietrich,Enim consectetur in dolorem explicabo.,accepted,""
 TT Internet,T93595,03/30/2014,03/25/2014,14980.6,Mr. Delores Klocko,Quae harum iste.,rejected,other;internal;client;negligible
KT Koty,K50209,2013-06-18,2013-06-14,14927.62,Ms. Ronaldo Harvey,Omnis ut excepturi assumenda qui.,other,other;Client;internal
Big Company 1,B80126,29-10-2014,29-10-2014,15217.31,Carolyne Schamberger V,"Placeat aspernatur aut dolorem.
Rerum eius nemo dolorem est atque fugiat autem.",rejected,internal;negligible
TT Internet,T6822,10/03/2012,09/24/2012,10820.61,Claud Durgan,Corporis molestias quos eos quis.,other,negligible;Important;Delegation;Other;internal
MS Szpadel,M12388,12/29/2012,12/27/2012,15499.36,Juanita Kuhn DVM,Est vitae nesciunt reprehenderit rem praesentium.,other,internal;other;negligible;Client
 Comcast,C60051,2013-07-02,2013-06-30,19459.92,Alda Cruickshank,"Autem veritatis dignissimos.
Placeat non reprehenderit.",other,other;negligible;internal;Delegation
 Microsoft,M86167,2015-03-31,2015-03-25,13151.22,Vernice Upton,Est et nisi maiores.,other,internal;negligible;client;delegation;important
 SB Komputery,S59399,12/10/2013,12/03/2013,17537.53,Sigmund Doyle,Consectetur eum rerum corrupti eius et.,rejected,important;internal;delegation
KT Koty,K28409,2012-11-02,2012-10-27,16834.3,Jonathan Leffler,Qui molestiae molestias id quas et.,rejected,internal;client;negligible;other
Big Company 1,B31109,2014-05-13,2014-05-07,13829.6,Prince Hodkiewicz,"Quia accusamus consectetur et voluptas eveniet doloribus.
Eius voluptatum non.",other,client;other;negligible;Delegation;internal
TT Internet,T33353,2013-12-06,2013-12-03,18982.19,Dr. Hazel Schneider,"Sed quasi in occaecati eligendi debitis porro veritatis.
Consequatur deserunt qui.
Suscipit ipsam blanditiis magni in assumenda corrupti ipsum.
Odio aut magni quae aliquid vero unde.",rejected,other;internal;important;Negligible
 Ostrzy Entertainment,O98678,06/27/2013,06/21/2013,16611.0,Tyshawn Braun,Assumenda mollitia adipisci est fuga.,accepted,internal;client;negligible;important
BP Biznes,B79275,12/01/2013,11/28/2013,18754.26,Macey Champlin,Laborum sunt eius est impedit odit.,accepted,delegation;internal;important;other;Client
 Comcast,C18442,2013-06-26,2013-06-17,14914.3,Lydia Funk,Nihil excepturi adipisci dicta.,rejected,Delegation;important;other;negligible
MS Szpadel,M49637,2014-06-04,2014-06-01,14159.78,Mathias Reinger,Ratione sit voluptatem necessitatibus quia.,accepted,other
 SB Komputery,S97500,28-02-2014,25-02-2014,10622.74,Gladys Yost,"Optio earum maiores nihil quam vel hic.
Ipsam quae ratione fugit iure sequi.
Aut blanditiis vero aut dicta harum suscipit.
Animi praesentium doloribus iste consequuntur qui et.",accepted,""
 Company X,C68582,12/18/2013,12/16/2013,15079.19,Myah Crona,Qui molestiae veniam quis et iure.,rejected,Negligible
Microsoft,M94501,2015-03-29,2015-03-26,17864.98,Queen Roob,"Itaque ipsum non molestiae dignissimos sed explicabo.
Illum dolore accusamus et sint.",accepted,other;negligible;delegation;client
BP Biznes,B79609,31-10-2012,24-10-2012,12795.13,Hollie Mayert,Ut accusamus possimus.,rejected,negligible;important;Internal;Client
 TT Internet,T18266,21-02-2014,15-02-2014,18888.71,Kellie Roberts,Quia sit sed veniam dolore qui.,rejected,""
Big Company 1,B64006,09/30/2014,09/29/2014,14840.77,Ross Kuhlman,Ut nostrum enim molestias tempore qui fugiat non.,accepted,important
 TT Internet,T75245,2014-11-01,2014-11-01,15575.79,Zachariah Hegmann,Aut omnis quia ea sed.,rejected,internal
Company X,C38186,03/27/2013,03/22/2013,10962.16,Braxton Grimes Jr.,Sint doloremque ut magnam quam neque.,other,Important;negligible;internal;client
Big Company 1,B11543,12/25/2013,12/25/2013,16582.1,Otha Ritchie,Autem omnis velit.,accepted,client
 KT Koty,K81459,12/24/2012,12/18/2012,11754.61,Mckenzie Bednar,"Velit repudiandae sint aspernatur facilis maxime repellendus.
Voluptas ipsa totam non est unde aperiam minus.
Fuga cumque iure aut perferendis corporis.",accepted,important;delegation;Client;internal
KT Koty,K56534,29-10-2014,28-10-2014,19503.41,Beulah Erdman,Earum rem quia magnam dolorem cum cumque nulla.,rejected,Important;other;delegation;client
 SB Komputery,S48775,13-05-2015,07-05-2015,14734.23,Wilburn Emmerich I,Maiores quo nemo.,accepted,other;important;Delegation;negligible
Wesoła Gżegżółka,W39072,02-11-2013,30-10-2013,18698.31,Addison Hoeger,Id necessitatibus sunt veritatis.,other,other;Delegation;Important;client;Negligible
TT Internet,T89052,03-12-2014,29-11-2014,13018.53,Ardith Rempel II,"Sint omnis et cum iusto sit pariatur sit.
Quae tempora aperiam.",rejected,Negligible;delegation;Internal
Big Company 1,B20322,11/11/2012,11/02/2012,11220.19,Eula Schmeler,Voluptatem facere adipisci eaque aut doloremque.,other,Important;delegation;Client;other
Comcast,C79695,31-05-2014,27-05-2014,12304.69,Dr. Eric Altenwerth,Officia accusantium sed laudantium non illo soluta enim.,other,negligible;Other;client
 SB Komputery,S82380,06/25/2013,06/20/2013,12975.0,Reta Lueilwitz,Distinctio laudantium in molestias aspernatur dolorem est quo.,accepted,important;other;client;Negligible
 TT Internet,T47897,10-11-2012,01-11-2012,12777.24,Octavia Strosin,"Vero sed sit et rerum sequi corporis eveniet.
Facilis voluptatem autem est.",accepted,delegation;other
TT Internet,T6656,2013-07-11,2013-07-07,12618.87,Glen Zboncak,Quos et saepe consequuntur qui asperiores.,accepted,Other;client
 Big Company 1,B30480,2014-03-29,2014-03-24,12529.50,Arianna Beatty,Dignissimos beatae voluptate unde facere quia itaque.,accepted,""
Microsoft,M338,2012-10-19,2012-10-16,14567.98,Frida Morar Jr.,Atque hic suscipit id.,rejected,negligible
 Wesoła Gżegżółka,W53749,06/29/2014,06/20/2014,12974.32,Sydnee Rohan,Qui molestiae minus eum suscipit praesentium.,accepted,negligible;delegation
Wesoła Gżegżółka,W3884,03/11/2015,03/05/2015,18686.17,Everardo Volkman,"Aut magnam ut.
Ut itaque ipsum dolorum recusandae qui.
Laborum minima quisquam iste.",other,other;important;negligible;delegation;client
 Microsoft,M99432,2013-04-05,2013-03-27,18566.98,Chadd Goldner,"Magnam molestias aut ea aliquid ut.
Qui sed non atque ratione neque.",rejected,Client;Negligible;Internal
Comcast,C20759,03/31/2015,03/22/2015,13633.59,Mrs. Fausto King,"Dicta quibusdam eveniet et.
Vel esse praesentium eum eaque.
Magnam qui cum tempora est autem.
Dignissimos alias aut voluptas autem.",other,""
BP Biznes,B65034,05/25/2013,05/20/2013,19357.92,Valentine Heathcote,Itaque placeat et error laudantium hic aperiam.,rejected,other;client;important;negligible;delegation
 ACME,A569,08/22/2014,08/18/2014,13934.75,Ibrahim Haag,Ut fugiat velit fuga doloremque odio.,rejected,client;other;important
Ostrzy Entertainment,O42516,17-11-2014,08-11-2014,17314.51,Quincy Stehr,Non quis ut.,accepted,delegation;Other
SB Komputery,S52739,17-12-2014,13-12-2014,10032.63,Alana Casper,Ut dolorem et enim cupiditate quaerat sint fugiat.,rejected,other;internal
Wesoła Gżegżółka,W1398,01-03-2014,20-02-2014,15008.5,Birdie Herzog,Nulla veritatis in qui ut quam voluptas.,other,""
 MS Szpadel,M26784,12/25/2012,12/21/2012,17862.22,Branson Greenholt,Eos nostrum cumque iste velit perspiciatis facilis quia.,other,important;client
 ACME,A5678,2015-02-25,2015-02-23,19950.41,,"Fugiat qui aut asperiores.
Nihil nulla quia voluptas.",other,other;Internal;Client
 TT Internet,T24388,05/17/2013,05/17/2013,19915.64,Leanna Tremblay,Impedit laborum totam.,accepted,important;Delegation
 Wesoła Gżegżółka,W14301,2014-02-28,2014-02-26,13714.3,Mathias Rowe,Hic et excepturi ipsa voluptatum est.,other,internal;Other;client
BP Biznes,B80794,18-11-2013,11-11-2013,19577.5,Lempi Stanton II,"Explicabo blanditiis dolores.
Voluptates saepe commodi odio.
Impedit perferendis aliquid quia.",accepted,Delegation;Internal;other
 Wesoła Gżegżółka,W17972,18-08-2014,17-08-2014,13369.92,Kevin Kub,"Velit est et placeat ut.
Dolore molestiae blanditiis possimus praesentium voluptatum.
Et ipsa voluptates unde optio corrupti veniam.
Corporis est deserunt molestiae sint perferendis possimus.",accepted,internal
 Microsoft,M70640,03-12-2013,02-12-2013,19332.68,Trevor Powlowski III,Sint vero nesciunt laboriosam tempora et illo culpa.,other,other;important
ACME,A79356,05/01/2015,04/29/2015,11806.58,Andreane Franecki,Voluptas soluta quaerat et sequi sint deleniti saepe.,accepted,Negligible;internal;important
Company X,C51618,2015-01-31,2015-01-29,19779.2,Wilbert Pfannerstill,Aut autem adipisci dignissimos sint rerum eum voluptatem.,rejected,other;client
TT Internet,T21011,07/18/2013,07/13/2013,15849.91,Linnie Hettinger,Totam ratione nisi.,other,Negligible
 Comcast,C68867,26-05-2015,23-05-2015,11523.25,Davion Nitzsche,Cumque officiis labore.,rejected,Delegation
 BP Biznes,B59141,10/30/2013,10/27/2013,10779.75,Adaline Champlin,Eum corporis nemo reiciendis.,accepted,Internal;negligible;important
TT Internet,T42006,02/27/2013,02/25/2013,10153.74,Jerel Kub,Corrupti aut sequi laboriosam dolorem laudantium facere aut.,accepted,delegation;Client
KT Koty,K3639,05/30/2013,05/21/2013,11752.4,Carter Mraz,Ut doloremque animi.,other,client;negligible
KT Koty,K22011,09/30/2013,09/27/2013,12689.42,Marianna Langworth V,Tempore distinctio aut recusandae saepe veniam nam modi.,other,important;delegation
Big Company 1,B56338,01/08/2014,12/30/2013,18012.57,Kasey Bradtke,Odio ea hic itaque aut.,rejected,other;delegation
" Monterail, Inc.",M78650,22-07-2014,16-07-2014,16924.21,Caitlyn Murazik,Assumenda in id.,rejected,delegation;important;other;Negligible;client
 Wesoła Gżegżółka,W99261,04/10/2013,04/10/2013,10446.39,Stone Hansen,Id labore ex aut odio natus quibusdam et.,accepted,delegation
 TT Internet,T76829,2014-05-03,2014-04-29,12530.56,Kristofer Keebler,Aliquid commodi molestiae odit.,rejected,delegation;internal;important
 Microsoft,M2694,28-12-2013,19-12-2013,14030.79,Elinor Weber MD,In rerum aut provident.,accepted,Negligible;delegation
 Company X,C14896,02-10-2012,24-09-2012,18732.27,Ines Kovacek,Molestias iure similique quos at ullam repellendus molestiae.,accepted,important;negligible
Company X,C30280,04/18/2014,04/12/2014,15679.11,Mara Schultz,Sed expedita est.,accepted,Other;delegation;important
" Monterail, Inc.",M73023,08-09-2014,06-09-2014,13541.60,Ellen Lueilwitz,"Dolorem in similique ipsum.
Itaque deserunt aut ea.
Distinctio et veritatis corrupti quos totam.
Dolores fugiat dolorem.",other,client;Internal;delegation;Negligible
Microsoft,M20165,01-01-2015,28-12-2014,14115.77,Freda Ruecker,Aliquid omnis cupiditate quis tenetur corporis.,accepted,important
 Wesoła Gżegżółka,W55026,2014-08-04,2014-07-28,11354.45,Mrs. Frieda Lubowitz,"Dolores magnam incidunt itaque ut.
Nostrum soluta earum ut nemo.
Maiores natus esse.",rejected,internal
"Monterail, Inc.",M36701,08/20/2013,08/12/2013,15978.3,Emmy Kuhlman,"Iusto animi provident cumque modi sint.
Harum omnis quos et voluptatem.",rejected,internal;Other;Client;delegation;negligible
Ostrzy Entertainment,O5510,06/25/2014,06/22/2014,16525.20,Diego Spinka,Necessitatibus aut magnam sit vero voluptate nulla consequatur.,other,""
" Monterail, Inc.",M72624,12/10/2013,12/10/2013,10215.65,Jedidiah Price,"Rem voluptatem error in occaecati velit suscipit aspernatur.
Sed saepe rerum natus velit qui voluptatem ut.
Occaecati molestiae ut consequuntur ipsum.",other,important;client;internal;negligible
MS Szpadel,M58463,2014-08-31,2014-08-25,17559.60,Eladio Hyatt,"Itaque sed quia.
Tempore est molestiae.
Est temporibus est quod voluptates.",other,""
 Wesoła Gżegżółka,W47297,12/25/2013,12/21/2013,11587.35,Veronica Rohan,"Sapiente non omnis in natus ex.
Labore minus aliquid quia totam voluptas ut.",other,other;Client;important;negligible;internal
Ostrzy Entertainment,O62354,03/08/2014,03/06/2014,17795.52,Tre Stark,Dicta aperiam dolores velit iusto eius veniam consectetur.,other,internal;other;important;negligible
SB Komputery,S33473,2014-09-22,2014-09-17,13126.45,Giovanny Johns,"Aut at consequatur quidem quisquam ipsa.
A dignissimos non iste illum voluptatem molestias.
Soluta ab iusto laborum placeat unde reiciendis.
Sed velit earum ut illum.",other,important;delegation;internal;Client
 ACME,A7967,10/06/2013,09/29/2013,14514.16,Nia Walsh,Aspernatur excepturi fugiat esse.,other,important
SB Komputery,S39742,27-02-2014,24-02-2014,17757.10,Jacynthe Jones,Cupiditate aut ipsum libero fugiat eaque.,accepted,Important;Delegation;client;internal
 TT Internet,T95209,2014-05-20,2014-05-18,15968.3,Oran Feil,"Eveniet alias nostrum ipsum maxime nulla.
Assumenda ea aut consequuntur laboriosam fugit delectus quae.",rejected,""
ACME,A89160,2014-11-04,2014-11-01,15625.67,Ezekiel Schowalter,Repudiandae et repellat occaecati et eveniet sit.,rejected,negligible;delegation;important;Client;internal
TT Internet,T24883,04/01/2014,03/30/2014,11463.0,Marjory Rempel,Ipsa cupiditate doloremque nesciunt facere rerum.,rejected,Delegation
 Company X,C58491,11/08/2012,11/01/2012,12777.67,Edgar O'Reilly,"Mollitia sunt ut modi cum id cupiditate eum.
Sed possimus quod.",accepted,delegation;internal;other
Big Company 1,B11560,01/31/2014,01/23/2014,11695.69,Frederick Jones DVM,Est distinctio dolore dolorum dolores voluptates.,accepted,internal;client
Ostrzy Entertainment,O10500,24-10-2013,23-10-2013,15081.83,Aleen Emmerich,"Consectetur ut id qui error.
Ad nemo itaque.
Qui dolores vel repellat consectetur occaecati aperiam voluptas.
Adipisci eligendi libero dolores ex consectetur debitis qui.",rejected,important;internal
 KT Koty,K62669,01-11-2014,26-10-2014,18690.30,Tevin Robel,Pariatur nemo quaerat non nihil quia doloremque iure.,rejected,client;Delegation
 Wesoła Gżegżółka,W33437,09/16/2012,09/10/2012,19391.19,Berneice Yundt,"Odio modi adipisci sit repellendus.
Velit sit vitae necessitatibus et dolorem commodi eos.
Et harum omnis vel.
Maxime aut beatae ab delectus quibusdam sint qui.",other,internal
Comcast,C95801,07-07-2014,28-06-2014,19107.82,Kathryne Greenholt,"Saepe sunt voluptas optio esse corporis eligendi.
Debitis nobis vel nesciunt quia.
Quo fuga soluta deleniti animi officiis et rerum.
Qui laudantium et.",other,negligible;client
TT Internet,T3202,2013-04-08,2013-04-01,16824.70,Douglas Kerluke,Adipisci magnam et doloribus eum dolore.,rejected,Client
 TT Internet,T46773,2014-08-05,2014-08-03,18124.16,Francesca Wuckert,Est soluta ullam ex ratione tenetur necessitatibus minima.,accepted,other;delegation
" Monterail, Inc.",M40764,04/30/2015,04/26/2015,14206.34,Karianne Armstrong,Ad culpa omnis hic dolorem quas voluptatum eos.,accepted,""
SB Komputery,S13426,09-05-2013,01-05-2013,18556.6,Miss Imani Baumbach,Odio doloremque excepturi.,accepted,delegation
 TT Internet,T60221,2014-05-01,2014-04-22,16603.53,Dr. Burley Ziemann,"Laudantium excepturi placeat corrupti repudiandae et atque est.
Nam culpa quaerat nostrum et ut fugit.",accepted,important;Other
 Wesoła Gżegżółka,W67622,07-08-2013,01-08-2013,18873.88,Bonnie Grady,Sint consequatur optio ullam dolorum nemo repellat fugit.,accepted,""
KT Koty,K42956,09/27/2013,09/24/2013,16138.44,Myra Grant,Consequatur modi tempore et soluta debitis.,rejected,internal;important;delegation
Company X,C66315,2013-02-08,2013-02-06,13980.3,Domenica Langworth,Similique id quibusdam natus voluptas omnis et.,other,""
"Monterail, Inc.",M29963,18-04-2015,12-04-2015,12632.2,Evie Schaden,"Qui sit numquam quis minus qui.
Sed earum adipisci dolor veritatis ipsum voluptatibus.
Sint facere asperiores delectus quod deleniti hic.
Odit ut est non temporibus.",accepted,important
MS Szpadel,M58108,2012-12-08,2012-12-06,12935.18,Citlalli Koch V,Doloremque nihil eveniet velit impedit.,rejected,""
 BP Biznes,B71895,10/29/2012,10/27/2012,13948.5,Xavier Jenkins,Voluptate quis et optio eum dolorem commodi minus.,rejected,important
 KT Koty,K75787,10/25/2013,10/18/2013,18148.92,Dana Hermiston MD,Rerum consequatur ut maxime aliquid similique et error.,rejected,Delegation;internal;Negligible;other;client
 BP Biznes,B46602,2015-04-13,2015-04-08,18859.42,Rebeca Hauck,"Asperiores iste tempora nobis.
Rerum commodi voluptatem non necessitatibus ea ut.",rejected,Important;delegation;Negligible;client;Other
ACME,A94921,03-04-2013,30-03-2013,17385.51,Eileen Gottlieb,"Nulla suscipit porro repellendus corrupti eveniet.
Omnis ab quia est repudiandae.
Consequuntur voluptates assumenda amet at qui nihil.
Error natus autem rerum nemo ipsum qui.",accepted,""
"Monterail, Inc.",M47025,25-04-2014,21-04-2014,15322.22,George Reichel DVM,Aspernatur natus occaecati quis praesentium molestias aperiam.,other,Delegation;other;negligible;important
ACME,A97284,2013-05-24,2013-05-19,17817.6,Owen Bosco,Non dignissimos in.,rejected,""
 Wesoła Gżegżółka,W14412,19-09-2014,16-09-2014,10061.8,Hanna Altenwerth,Enim dicta dolorem.,accepted,important;delegation;Negligible;Other
 TT Internet,T88211,04/02/2013,03/24/2013,11904.34,Genesis Gutmann V,Tenetur sed exercitationem sunt non pariatur harum accusamus.,other,""
 BP Biznes,B58024,17-01-2015,11-01-2015,19654.19,Jevon Doyle I,Ratione rem iste provident dolor.,accepted,""
 TT Internet,T82857,05-03-2013,24-02-2013,19625.77,Susana Marquardt,Qui saepe rem pariatur et odio est eos.,other,negligible;internal;Client;Delegation
 BP Biznes,B73153,23-04-2015,16-04-2015,14206.10,Reinhold Waelchi,"Ab suscipit blanditiis aspernatur consequatur.
Eum sed quam omnis quibusdam dolore id.",other,client;Other;Internal;Delegation
KT Koty,K50097,2013-11-17,2013-11-10,11918.25,Kenya Dibbert,Quos pariatur deleniti.,other,internal;important
KT Koty,K48085,12-03-2014,05-03-2014,13547.21,Else Swift,"Possimus sed inventore amet ipsa dicta.
Impedit nisi officia suscipit sed libero et voluptatem.",other,Internal;negligible;important
SB Komputery,S55502,11/11/2012,11/11/2012,19100.49,Dr. Freddie Mosciski,Sed nostrum necessitatibus consectetur dignissimos.,accepted,other
TT Internet,T99792,2014-12-04,2014-11-26,18050.25,Dr. Ethyl Sipes,Optio doloribus harum qui eum tempore.,rejected,""
Ostrzy Entertainment,O48238,08/29/2013,08/27/2013,16304.27,Zula Leffler,Velit non officiis consequatur et id qui maxime.,accepted,delegation;important;Internal;negligible;client
Microsoft,M82701,2013-09-15,2013-09-07,15919.22,Ernestina Hane,Rerum consequatur distinctio minima.,rejected,Delegation;internal;other;client;Negligible
 MS Szpadel,M40651,01/17/2015,01/14/2015,17339.64,Grady Bednar IV,Eum tempora id aut.,accepted,Client;Delegation;important
SB Komputery,S27186,31-03-2015,26-03-2015,16742.11,Jeffrey Pfeffer,Ratione magni eligendi architecto ullam voluptas nostrum pariatur.,rejected,Important;internal;Negligible;delegation;client
Big Company 1,B41971,04/03/2013,04/02/2013,19738.35,Wendell Schneider,A tempora alias quia cupiditate voluptatibus tempore et.,rejected,Internal;negligible;client;Other
KT Koty,K33992,10-06-2014,02-06-2014,18376.37,Kristopher Mante,Quo quas adipisci ipsa eius dolorem unde assumenda.,other,Client;Delegation;important;internal;negligible
 MS Szpadel,M586,2013-10-07,2013-09-29,17129.14,Toney Schmeler,Consequatur iste quis inventore aut.,other,other;Internal;delegation
 KT Koty,K45784,2014-04-09,2014-04-04,11326.10,Judy Hilpert,Explicabo ex quibusdam sit dolorum eum.,other,negligible;client;Delegation;Other
TT Internet,T26065,2014-01-25,2014-01-17,15716.82,Tremaine Walter,Neque modi molestiae dicta voluptas repellendus sit voluptatem.,other,Delegation;other;important
 TT Internet,T66573,02-07-2013,27-06-2013,17245.40,Celine Hoppe,"Corporis ea aut et ipsa soluta quasi.
Natus ut consequatur cum quia.
Unde amet harum iure eligendi.",other,internal;other;important;delegation;client
"Monterail, Inc.",M67720,2014-07-24,2014-07-20,17271.50,Oleta Muller,Eum accusantium totam et.,other,""
 TT Internet,T58097,08-09-2012,31-08-2012,10401.41,Immanuel O'Hara,Cum rerum labore nulla facilis unde consequatur.,rejected,""
MS Szpadel,M6305,2013-02-13,2013-02-05,16884.27,Ms. Morris Senger,Est ut qui molestiae.,rejected,important
KT Koty,K11558,2014-12-17,2014-12-09,19605.94,Elna Rath,Recusandae autem ut molestiae.,accepted,client
ACME,A14348,11-02-2013,09-02-2013,19063.88,Jaylon Rau,Cupiditate sit totam nam quis aliquam.,other,important;internal
MS Szpadel,M10437,10/16/2013,10/09/2013,11673.70,Tomasa Sawayn,Perspiciatis cumque ipsum.,accepted,Important;Client;Internal;other
 Microsoft,M28463,07/17/2013,07/15/2013,19164.67,Mrs. Margarita Schaefer,Et enim totam nihil repellendus consequuntur.,other,delegation;important;client;other
 BP Biznes,B16475,12/08/2012,12/08/2012,11831.33,Miss Arely Zieme,Est laudantium eos sunt non rem ratione.,other,Delegation
BP Biznes,B39934,25-02-2014,17-02-2014,19476.83,Ms. Colten Roberts,Consequatur qui omnis minus.,rejected,client;delegation;Negligible
 Company X,C72317,2013-05-19,2013-05-19,13290.57,Shanon Toy,Qui debitis itaque quam atque.,accepted,client;Other
ACME,A25570,2014-10-22,2014-10-13,14335.35,Dr. Marcia Ullrich,Unde in officiis nobis facilis soluta.,rejected,internal;delegation;client;negligible;Important
KT Koty,K65080,13-04-2014,05-04-2014,16422.72,London Cole,Quia molestiae consequuntur quos incidunt et.,accepted,""
BP Biznes,B85916,2012-10-08,2012-10-04,10546.21,Taryn Reilly MD,"Error laudantium omnis voluptatum sed ut ut impedit.
Delectus vel voluptas blanditiis laudantium earum corporis et.
Exercitationem nobis autem rerum quibusdam fuga sunt.
Rerum voluptate velit consectetur quisquam qui qui vero.",rejected,""
 ACME,A70712,03/02/2013,02/22/2013,18841.53,Randall Franecki,Quis ut consequatur praesentium minus sint.,accepted,""
BP Biznes,B42,2014-06-01,2014-05-23,11026.10,Jessy Daniel,Tenetur nisi dolorem recusandae vitae.,other,negligible;client;internal
 BP Biznes,B3884,2015-05-20,2015-05-19,19674.79,Hassan Morar,"Inventore nostrum earum reprehenderit libero atque autem.
Voluptatem ratione enim ut alias.",rejected,delegation;Other;important;negligible;Internal
KT Koty,K66543,17-09-2012,13-09-2012,10965.26,Halle Labadie,Occaecati libero neque.,other,other;Internal;important;negligible
"Monterail, Inc.",M38835,2015-01-29,2015-01-23,11240.32,Kaden Schaden,Cumque ex et esse fugit iure doloribus.,other,""
 Company X,C38246,15-07-2013,08-07-2013,15557.5,Maximo Ferry III,Nemo quia provident est voluptatum nulla blanditiis et.,accepted,Client;internal;other
Big Company 1,B6853,11/29/2012,11/23/2012,15654.73,Bertram Bauch,Dolore illo esse ut alias.,accepted,""
BP Biznes,B1693,10/25/2014,10/18/2014,12697.72,Joesph Hartmann V,"Dolore nam et eligendi culpa id.
Laudantium et mollitia eos similique.
Eaque quia error.
Repellat cum iure ad similique non enim.",accepted,""
SB Komputery,S55886,09/04/2014,09/02/2014,13693.21,Jayson Von,"Pariatur ex nulla adipisci aut quis.
Dicta iure libero aut modi quo asperiores voluptas.
Molestiae qui ea quia voluptatem.
Assumenda consequatur velit.",rejected,important;internal
ACME,A52141,2014-07-16,2014-07-15,15791.11,Jany Cruickshank,Minus corrupti dolorem repudiandae accusantium sunt.,accepted,important
SB Komputery,S5426,11/13/2012,11/09/2012,14485.54,Margaretta Tromp,Temporibus sit repudiandae error.,accepted,important;delegation
Wesoła Gżegżółka,W87052,11/08/2012,11/03/2012,11177.80,Allene Collier III,Saepe est delectus mollitia.,accepted,negligible;Other;internal;Important;client
MS Szpadel,M39514,02-11-2012,01-11-2012,11212.43,Leopold Kovacek,"Odio fugiat beatae.
Reprehenderit magnam ea.",accepted,client
ACME,A79626,04/03/2013,03/25/2013,10369.33,Aniya Ankunding,Iste non at.,accepted,negligible;internal;delegation;client;Other
Company X,C96671,09/12/2014,09/08/2014,12502.38,Cameron Abshire III,"Temporibus possimus ratione enim nostrum in.
Provident ipsa est et modi totam.
Reprehenderit quia commodi.",accepted,other;client;negligible;delegation
 TT Internet,T5982,2013-03-08,2013-03-06,11341.32,Otilia Fahey I,"Culpa repellendus aut.
Dolores illum delectus eos.
Non et et provident qui nesciunt saepe aut.
Magni distinctio nisi.",other,internal;Negligible;Other;Client
SB Komputery,S27461,19-05-2013,13-05-2013,11372.74,Burnice Gusikowski,"Cum ut reprehenderit minus id aliquid.
Sit dolorem quos et quis sequi.
Est nostrum cum eum mollitia iure iste et.",other,important;client;delegation
MS Szpadel,M35925,2013-05-16,2013-05-13,12827.97,Terry Nader,"Commodi et consectetur minus pariatur eveniet deleniti necessitatibus.
Ratione similique cumque quas ex autem necessitatibus consectetur.",rejected,""
 Microsoft,M83911,12-04-2014,12-04-2014,13251.26,Timmy Leffler DDS,Non alias iusto.,accepted,""
KT Koty,K52170,06/07/2014,06/06/2014,19086.64,Jarrod Windler,"Velit rerum deleniti molestias error.
Voluptas vitae et sit velit aut.
Officia dolorem vel.
Facilis ipsa unde aut quis aliquid explicabo.",accepted,""
 MS Szpadel,M87242,02/22/2013,02/13/2013,13920.50,Ms. Miracle Ledner,"Sed nobis eos deleniti.
Repudiandae earum aspernatur ea enim incidunt sit laboriosam.
Laudantium quia quia veniam quia.",accepted,""
 TT Internet,T97574,2013-09-21,2013-09-17,16801.48,Wiley Goldner,Iusto in nihil.,accepted,Internal
 Comcast,C14200,03/21/2015,03/20/2015,10528.15,Harry Romaguera PhD,"Est autem illum dolorem assumenda.
Est fugiat aut doloremque et ut numquam.
Hic quia vel rem omnis consequuntur perspiciatis.
Enim est veniam sit quis qui.",other,""
